# kvstest -n-squared on hkvs, 4-ary, 64 nodes
# N     put	get	combined
64	0.015	0.039	0.054
128	0.038	0.071	0.109
256	0.022	0.113	0.135
256	0.025	0.115	0.140
256	0.034	0.115	0.149
512	0.104	0.230	0.334
512	0.049	0.228	0.277
512	0.090	0.227	0.317
1024	0.076	0.416	0.492
1024	0.106	0.399	0.505
1024	0.134	0.421	0.555
2048	0.213	1.266	1.479
2048	0.296	1.312	1.608
2048	0.189	1.329	1.518
4096	2.118	6.189	8.307
4096	0.397	6.150	6.547
4096	2.601	6.213	8.814
8192	0.856	33.121	33.977
8192	4.774	32.940	37.714
8192	0.960 	33.212	34.172

# kvstest -n-squared on kvs (single-redis), 4-ary, 64 nodes
64	0.014	0.155	0.169
128	0.009	0.652	0.661
256	0.010	2.661	2.671
256	0.000	2.677	2.677
256	0.039	3.775	3.814
512	0.050	9.596	9.646
512	0.034	14.010	14.044
512	0.479	10.815	11.294
1024	0.353	40.662	41.015
1024	0.045	38.675	38.720
1024	0.062	40.687	40.749
2048	0.093	159.175	159.268
2048	0.489	171.259	171.748
2048	0.509	182.480	182.989
4096	0.580	629.871	630.451
4096	0.783	652.824	653.607
4096	0.283	692.474	629.757
8192	0.959	2578.791	2579.750
8192	1.117	2596.385	2597.502

# kvstest -n-squared on slurm, 64 nodes
64	0.066	0.055	0.121
128	0.137	0.075	0.212
256	0.239	0.152	0.391
256	0.260	0.157	0.417
256	0.306	0.147	0.453
512	0.541	0.259	0.800
512	0.520	0.278	0.798
512	0.512	0.271	0.783
1024	1.051	0.544	1.595
1024	1.031	0.541	1.572
1024	1.048	0.525	1.573
2048	2.186	1.127	3.313
2048	2.109	1.100	3.209
2048	2.126	1.076	3.202
4096	4.474	2.494	6.968
4096	4.483	2.250	6.733
4096	4.575	24.209	28.784
4096	27.856	2.373	30.229
8192	30.466	5.963	36.429
8192	10.412	19.490	29.902
8192	43.104	5.773	48.877
